Title,Category,longitude,latitude
Chief Executives,Management,7.1316695,-14.036379
Chief Sustainability Officers,Management,-4.893104,12.292247
General and Operations Managers,Management,5.8982553,-11.357813
Advertising and Promotions Managers,Management,2.0681674,-14.770336
Marketing Managers,Management,2.2684162,-15.605427
Sales Managers,Management,5.3842564,-10.927023
Administrative Services Managers,Management,-0.24561277,-8.860834
Computer and Information Systems Managers,Management,-8.256612,-10.450854
Financial Managers,Management,9.090611,-15.162677
Treasurers and Controllers,Management,8.350608,-14.983246
Investment Fund Managers,Management,6.27447,-17.597996
Industrial Production Managers,Management,-12.518389,0.18191162
Quality Control Systems Managers,Management,-13.726485,0.23417775
Geothermal Production Managers,Management,-22.740822,-2.536029
Biofuels Production Managers,Management,-19.347612,-0.38365838
Biomass Power Plant Managers,Management,-19.879196,-0.96036243
Hydroelectric Production Managers,Management,-21.629904,-3.1958632
Purchasing Managers,Management,4.11444,-8.011256
"Transportation, Storage, and Distribution Managers",Management,1.0609342,-6.2381315
Supply Chain Managers,Management,2.6636581,-7.0920725
Compensation and Benefits Managers,Management,8.972797,-20.43608
Human Resources Managers,Management,7.762765,-21.363577
Training and Development Managers,Management,47.93287,-14.53006
"Farmers, Ranchers, and Other Agricultural Managers",Management,-5.280899,22.100677
Construction Managers,Management,-9.524711,-2.8053918
"Education and Childcare Administrators, Preschool and Daycare",Management,47.331333,-11.791188
"Education Administrators, Kindergarten through Secondary",Management,47.029205,-11.031711
"Education Administrators, Postsecondary",Management,41.64976,-15.581476
Architectural and Engineering Managers,Management,-7.4299164,-6.0884576
Biofuels/Biodiesel Technology and Product Development Managers,Management,-18.47837,0.86925197
Food Service Managers,Management,8.666937,20.23974
Gambling Managers,Management,20.049702,22.352432
Lodging Managers,Management,13.6420765,10.500199
Medical and Health Services Managers,Management,31.145046,-0.7639111
Natural Sciences Managers,Management,-7.1770773,-5.971093
Clinical Research Coordinators,Management,30.523924,2.349375
Water Resource Specialists,Management,-10.209573,13.318994
Postmasters and Mail Superintendents,Management,10.625415,-4.074857
"Property, Real Estate, and Community Association Managers",Management,1.2286782,-23.877834
Social and Community Service Managers,Management,36.123657,-7.2805595
Emergency Management Directors,Management,-5.789193,-18.392939
Funeral Home Managers,Management,24.823954,-11.85045
Fitness and Wellness Coordinators,Management,45.562958,4.110417
Spa Managers,Management,16.15497,10.995932
Regulatory Affairs Managers,Management,10.05383,-26.569494
Compliance Managers,Management,10.74644,-25.725592
Loss Prevention Managers,Management,17.444859,-15.976097
Wind Energy Operations Managers,Management,-22.42716,-6.4602003
Wind Energy Development Managers,Management,-22.166674,-6.6601586
Brownfield Redevelopment Specialists and Site Managers,Management,-9.108401,11.460161
"Agents and Business Managers of Artists, Performers, and Athletes",Accountants and Auditors,3.9829676,-14.815045
"Buyers and Purchasing Agents, Farm Products",Accountants and Auditors,-6.9990563,21.12894
"Wholesale and Retail Buyers, Except Farm Products",Accountants and Auditors,5.1765866,-9.582127
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Accountants and Auditors,5.2218823,-8.142886
"Claims Adjusters, Examiners, and Investigators",Accountants and Auditors,12.769492,-20.021988
"Insurance Appraisers, Auto Damage",Accountants and Auditors,-40.872368,-0.3642703
Compliance Officers,Accountants and Auditors,13.278222,-24.825966
Environmental Compliance Inspectors,Accountants and Auditors,-8.348859,5.8194118
Equal Opportunity Representatives and Officers,Accountants and Auditors,8.214223,-23.180952
Government Property Inspectors and Investigators,Accountants and Auditors,-7.9992075,5.6070757
Coroners,Accountants and Auditors,25.165075,-13.272754
Regulatory Affairs Specialists,Accountants and Auditors,9.957318,-26.718355
Customs Brokers,Accountants and Auditors,6.364367,-4.0970774
Cost Estimators,Accountants and Auditors,-11.080298,-2.851702
Human Resources Specialists,Accountants and Auditors,8.692332,-22.36659
Farm Labor Contractors,Accountants and Auditors,-7.945366,22.432169
Labor Relations Specialists,Accountants and Auditors,6.445067,-22.240223
Logisticians,Accountants and Auditors,1.6304102,-6.741789
Logistics Engineers,Accountants and Auditors,2.0897555,-5.9880238
Logistics Analysts,Accountants and Auditors,2.653435,-5.336502
Management Analysts,Accountants and Auditors,-1.9604325,-8.461244
"Meeting, Convention, and Event Planners",Accountants and Auditors,5.4833403,-13.364681
Fundraisers,Accountants and Auditors,35.473427,-8.459017
"Compensation, Benefits, and Job Analysis Specialists",Accountants and Auditors,7.049328,-21.745155
Training and Development Specialists,Accountants and Auditors,33.095936,-13.577781
Market Research Analysts and Marketing Specialists,Accountants and Auditors,2.476772,-16.901028
Search Marketing Strategists,Accountants and Auditors,1.1916027,-16.856052
Business Continuity Planners,Accountants and Auditors,-5.7956166,-18.325657
Sustainability Specialists,Accountants and Auditors,-4.9255815,12.22465
Online Merchants,Accountants and Auditors,8.271379,-6.430537
Accountants and Auditors,Accountants and Auditors,9.358307,-16.698587
Appraisers and Assessors of Real Estate,Accountants and Auditors,0.74614954,-24.77317
Budget Analysts,Accountants and Auditors,7.9085774,-14.047168
Credit Analysts,Accountants and Auditors,12.047886,-15.126637
Personal Financial Advisors,Accountants and Auditors,6.9207234,-17.444773
Insurance Underwriters,Accountants and Auditors,11.703354,-19.293974
Financial Examiners,Accountants and Auditors,9.078349,-16.267271
Credit Counselors,Accountants and Auditors,11.260988,-14.497696
Loan Officers,Accountants and Auditors,11.822372,-15.554916
"Tax Examiners and Collectors, and Revenue Agents",Accountants and Auditors,13.592475,-12.87889
Tax Preparers,Accountants and Auditors,14.124894,-12.129048
Financial Quantitative Analysts,Accountants and Auditors,4.164643,-18.504286
"Fraud Examiners, Investigators and Analysts",Accountants and Auditors,17.182364,-18.850761
Computer Systems Analysts,Computer and Mathematical,-7.0166693,-10.821433
Health Informatics Specialists,Computer and Mathematical,29.537155,-2.5502284
Information Security Analysts,Computer and Mathematical,-7.8180013,-13.0838375
Computer and Information Research Scientists,Computer and Mathematical,-8.797034,-10.28109
Computer Network Support Specialists,Computer and Mathematical,-9.602736,-14.02217
Computer User Support Specialists,Computer and Mathematical,-7.7487874,-10.917385
Computer Network Architects,Computer and Mathematical,-9.361281,-13.516879
Telecommunications Engineering Specialists,Computer and Mathematical,-11.239772,-11.341315
Database Administrators,Computer and Mathematical,-4.5370574,-11.761483
Database Architects,Computer and Mathematical,-4.292717,-12.150288
Data Warehousing Specialists,Computer and Mathematical,-3.472675,-12.093604
Network and Computer Systems Administrators,Computer and Mathematical,-9.129174,-13.2267
Computer Programmers,Computer and Mathematical,-6.57439,-10.583664
Software Quality Assurance Analysts and Testers,Computer and Mathematical,-14.91525,-0.51572543
Web Developers,Computer and Mathematical,-6.6987963,-14.370412
Video Game Designers,Computer and Mathematical,-3.4719434,-4.2206655
Web Administrators,Computer and Mathematical,-7.2824593,-14.090903
Geographic Information Systems Technologists and Technicians,Computer and Mathematical,-13.215234,-22.734295
Document Management Specialists,Computer and Mathematical,-2.5947208,-9.633945
Computer Systems Engineers/Architects,Computer and Mathematical,-9.410896,-11.496909
Information Technology Project Managers,Computer and Mathematical,-6.4495873,-7.5170336
Actuaries,Computer and Mathematical,10.458531,-19.620758
Mathematicians,Computer and Mathematical,17.945196,2.0016112
Operations Research Analysts,Computer and Mathematical,-3.5941577,-7.5709424
Statisticians,Computer and Mathematical,19.529285,-0.41007563
Biostatisticians,Computer and Mathematical,20.44195,-0.4666463
Business Intelligence Analysts,Computer and Mathematical,2.9055994,-18.169064
Clinical Data Managers,Computer and Mathematical,21.688705,-1.3319224
Bioinformatics Technicians,Computer and Mathematical,20.389582,1.2314403
"Architects, Except Landscape and Naval",Architecture and Engineering,-10.234541,-4.7944875
Landscape Architects,Architecture and Engineering,-8.357644,16.094175
Cartographers and Photogrammetrists,Architecture and Engineering,-13.796975,-21.62105
Surveyors,Architecture and Engineering,-12.348896,-20.234835
Geodetic Surveyors,Architecture and Engineering,-12.911997,-20.474771
Aerospace Engineers,Architecture and Engineering,-15.588351,-5.2792053
Agricultural Engineers,Architecture and Engineering,-7.625563,16.613934
Bioengineers and Biomedical Engineers,Architecture and Engineering,20.820549,5.6587887
Chemical Engineers,Architecture and Engineering,-16.293753,8.500129
Civil Engineers,Architecture and Engineering,-9.302073,-4.065426
Transportation Engineers,Architecture and Engineering,-20.740128,-15.746158
Water/Wastewater Engineers,Architecture and Engineering,-10.751329,12.884611
Computer Hardware Engineers,Architecture and Engineering,-9.834845,-9.84681
Electrical Engineers,Architecture and Engineering,-12.207648,-7.4642434
"Electronics Engineers, Except Computer",Architecture and Engineering,-12.506592,-8.72516
Radio Frequency Identification Device Specialists,Architecture and Engineering,-14.267898,-10.771264
Environmental Engineers,Architecture and Engineering,-8.546475,11.401057
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Architecture and Engineering,-11.223166,4.2963157
Fire-Prevention and Protection Engineers,Architecture and Engineering,-5.417933,-25.283066
Industrial Engineers,Architecture and Engineering,-12.07634,-2.2496345
Human Factors Engineers and Ergonomists,Architecture and Engineering,-8.765322,0.03237455
Validation Engineers,Architecture and Engineering,-14.508022,0.6208623
Manufacturing Engineers,Architecture and Engineering,-13.923447,-2.774066
Marine Engineers and Naval Architects,Architecture and Engineering,-29.469297,-11.827527
Materials Engineers,Architecture and Engineering,-15.006579,-2.6124158
Mechanical Engineers,Architecture and Engineering,-14.1893215,-4.696851
Fuel Cell Engineers,Architecture and Engineering,-17.710844,1.2861823
Automotive Engineers,Architecture and Engineering,-38.541653,-1.6873627
"Mining and Geological Engineers, Including Mining Safety Engineers",Architecture and Engineering,-26.887314,1.7413745
Nuclear Engineers,Architecture and Engineering,-15.406414,4.127217
Petroleum Engineers,Architecture and Engineering,-22.65277,2.349827
"Energy Engineers, Except Wind and Solar",Architecture and Engineering,-18.964321,-6.4872403
Mechatronics Engineers,Architecture and Engineering,-14.557598,-6.3508444
Microsystems Engineers,Architecture and Engineering,-14.172957,-7.836189
Photonics Engineers,Architecture and Engineering,-14.871781,-9.978868
Robotics Engineers,Architecture and Engineering,-45.236393,2.2672982
Nanosystems Engineers,Architecture and Engineering,-12.763188,9.424488
Wind Energy Engineers,Architecture and Engineering,-22.939054,-6.7135134
Solar Energy Systems Engineers,Architecture and Engineering,-18.930052,-10.059184
Architectural and Civil Drafters,Architecture and Engineering,-11.1942005,-5.472968
Electrical and Electronics Drafters,Architecture and Engineering,-12.8680105,-7.141826
Mechanical Drafters,Architecture and Engineering,-12.849327,-5.2297025
Aerospace Engineering and Operations Technologists and Technicians,Architecture and Engineering,-37.972485,-7.524747
Civil Engineering Technologists and Technicians,Architecture and Engineering,-9.597069,-3.964501
Electrical and Electronic Engineering Technologists and Technicians,Architecture and Engineering,-35.170605,-4.6469016
Electro-Mechanical and Mechatronics Technologists and Technicians,Architecture and Engineering,-35.638783,-5.1179047
Robotics Technicians,Architecture and Engineering,-45.174767,2.2706363
Environmental Engineering Technologists and Technicians,Architecture and Engineering,-8.656436,10.123066
Industrial Engineering Technologists and Technicians,Architecture and Engineering,-12.502517,-0.8602062
Nanotechnology Engineering Technologists and Technicians,Architecture and Engineering,-13.29937,9.292909
Mechanical Engineering Technologists and Technicians,Architecture and Engineering,-14.128523,-5.084288
Automotive Engineering Technicians,Architecture and Engineering,-38.580555,-1.5495026
Non-Destructive Testing Specialists,Architecture and Engineering,-14.38197,6.697834
Photonics Technicians,Architecture and Engineering,-14.191043,8.93265
Surveying and Mapping Technicians,Architecture and Engineering,-13.380553,-21.466452
Animal Scientists,"Life, Physical, and Social Science",-2.3665671,20.574337
Food Scientists and Technologists,"Life, Physical, and Social Science",4.442167,20.099583
Soil and Plant Scientists,"Life, Physical, and Social Science",-7.0931993,17.799612
